Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ke'Bryan Hayes","CIN",40,174,159,38,27,7,1,4,19,17,12,0,34,1,1,1,,3,1,0.242091,0.0692239,0.193642,0.357484,0.298445,0.364388,0.292987,0.662833,0.122297,4.68252,0.283348,0.0359337,0.0838013,17.4237,-3.4093,77.8668,0.119735,3.06665,-4.5634200274944305,3.688871681690216,0.486617,999,,,,,,,159.3,3.9825,159.3,3.9825,,,,,,,,,,,,,,,,,,,"Ke'Bryan Hayes","18577",663647
"Luis Torrens","NYM",25,99,90,21,14,4,0,3,10,11,7,0,22,1,1,1,,0,0,0.228911,0.0694868,0.226525,0.306752,0.288878,0.363329,0.288151,0.652207,0.134417,2.81328,0.274859,-0.0133982,-0.0966958,9.49265,-2.32215,82.7077,-0.110094,1.79736,-2.1851129233837128,3.727142810821533,0.481898,999,,,,,,,91.4,3.656,91.4,3.656,,,,,,,,,,,,,,,,,,,"Luis Torrens","15905",620443
"Spencer Horwitz","PIT",41,177,153,40,27,9,0,4,21,20,20,0,31,2,1,0,,1,0,0.260885,0.11347,0.172747,0.656856,0.350958,0.404496,0.334633,0.755455,0.143612,2.47342,0.29814,-0.0727997,-0.221656,23.6437,2.52652,108.719,-0.294455,0.613038,1.5755708813667297,-2.578166127204895,0.481522,738.1500244140625,,,,,,,202.6,4.941463414,202.6,4.941463414,,,,,,,,,,,,,,,,,,,"Spencer Horwitz","26477",687462
"Dylan Beavers","BAL",35,153,133,32,21,7,1,4,19,17,17,0,35,1,1,1,,5,1,0.239941,0.113213,0.231355,0.489347,0.329242,0.38963,0.318722,0.718872,0.149689,5.41566,0.294905,-0.00497809,0.167751,18.489,0.208517,104.201,0.162773,-0.0842297,0.9184440225362778,-1.64688391238451,0.477394,505.0400085449219,,,,,,,170.5,4.871428571,170.5,4.871428571,,,,,,,,,,,,,,,,,,,"Dylan Beavers","31695",687637
"Heriberto Hernández","MIA",38,163,144,34,20,7,1,6,20,20,16,0,45,2,1,1,,3,1,0.235321,0.0992673,0.276348,0.359212,0.317601,0.417682,0.321781,0.735283,0.182362,4.52464,0.297016,-0.0406976,-0.0826932,20.1709,0.629633,100.647,-0.123391,1.79196,0.00507749617099762,-0.7120567560195923,0.467897,999,,,,,,,185.7,4.886842105,185.7,4.886842105,,,,,,,,,,,,,,,,,,,"Heriberto Hernandez","24878",681715
"Matt McLain","CIN",35,152,134,30,19,6,0,5,17,17,15,0,41,2,1,1,,5,1,0.228214,0.100575,0.2714,0.37058,0.313984,0.387532,0.310583,0.701516,0.159319,4.8954,0.29054,0.0244571,0.305563,17.4276,-0.80128,89.6517,0.33002,0.565246,-1.5858803689479828,1.2263575792312622,0.466784,144.3000030517578,,,,,,,156.1,4.46,156.1,4.46,,,,,,,,,,,,,,,,,,,"Matt McLain","29695",680574
"Josh Lowe","LAA",38,166,150,36,23,7,1,6,20,20,14,0,46,1,1,1,,6,1,0.242553,0.0824489,0.275229,0.299565,0.306483,0.415822,0.314671,0.722305,0.173268,5.95365,0.307315,-0.0444347,0.793949,19.5358,-0.320659,98.742,0.749514,-0.119664,0.5037420988082886,-1.8235218077898026,0.465143,297.0899963378906,,,,,,,187.6,4.936842105,187.6,4.936842105,,,,,,,,,,,,,,,,,,,"Josh Lowe","19953",666139
"Zach McKinstry","DET",33,145,129,30,20,6,2,3,19,13,13,0,30,1,1,1,,4,1,0.233433,0.0867627,0.205036,0.423159,0.30497,0.364503,0.296863,0.669473,0.131071,6.66632,0.280526,0.0811065,0.0760904,14.924,-2.3748,87.371,0.157197,1.18064,-1.9923387318849564,1.4102715104818344,0.462594,510.30999755859375,,,,,,,142.8,4.327272727,142.8,4.327272727,,,,,,,,,,,,,,,,,,,"Zach McKinstry","19392",656716
"Joc Pederson","TEX",39,169,146,35,21,6,1,7,21,21,18,0,38,3,1,0,,1,1,0.239707,0.106989,0.224556,0.476448,0.332809,0.431367,0.334657,0.764176,0.191661,3.63352,0.274108,-0.0606458,-0.194788,22.5999,2.41795,115.179,-0.255434,0,2.758735030889511,-4.219444274902344,0.460714,999,,,,,,,201,5.153846153,201,5.153846153,,,,,,,,,,,,,,,,,,,"Joc Pederson","11899",592626
"Henry Davis","PIT",30,118,104,24,15,5,0,4,13,13,10,0,28,3,1,1,,2,1,0.228667,0.0849988,0.24123,0.352356,0.311455,0.381759,0.307302,0.693213,0.153091,4.05846,0.278292,-0.0302636,-0.0801141,13.1843,-0.935787,90.4139,-0.110378,-0.119337,-1.4851327985525131,2.186990275979042,0.46063,999,,,,,,,122.5,4.083333333,122.5,4.083333333,,,,,,,,,,,,,,,,,,,"Henry Davis","29617",680779
