Name,Team,G,PA,AB,H,HR,R,RBI,SB,AVG,MLBAMID
Ben Rice,Yankees,50,178,152,26,7,20,23,0,0.171,700250
Jordan Walker,Cardinals,51,178,164,33,5,16,20,1,0.201,691023
Junior Caminero,Rays,43,177,165,41,6,15,18,2,0.248,691406
Patrick Wisdom,Cubs,75,174,158,27,8,16,23,5,0.171,621550
Derek Hill,Marlins,53,172,162,39,7,19,25,6,0.241,656537
Brett Baty,Mets,50,171,153,35,4,15,16,0,0.229,683146
Nick Loftin,Royals,57,171,148,28,1,15,14,1,0.189,679845
Angel Martínez,Guardians,43,169,151,35,3,16,11,3,0.232,682657
José Tena,Nationals,44,168,161,43,3,14,15,6,0.267,677588
Nick Martini,Reds,52,163,146,31,5,23,24,1,0.212,605361
Evan Carter,Rangers,45,162,144,27,5,23,15,2,0.188,694497
Gabriel Arias,Guardians,53,161,153,34,3,15,15,5,0.222,672356
Sam Hilliard,Rockies,58,158,138,33,10,26,27,5,0.239,656541
Jung Hoo Lee,Giants,37,158,145,38,2,15,8,2,0.262,808982
Reese McGuire,Sox,53,158,139,29,3,10,18,3,0.209,624512
Pavin Smith,Diamondbacks,60,158,137,37,9,26,36,1,0.27,656976
Matt Carpenter,Cardinals,59,157,137,32,4,15,15,0,0.234,572761
J.D. Davis,Yankees,46,157,142,31,4,13,6,0,0.218,605204
Kyle McCann,Athletics,54,157,140,33,5,13,15,0,0.236,668832
Austin Barnes,Dodgers,54,156,140,37,1,12,11,3,0.264,605131
Kyle Manzardo,Guardians,53,156,145,34,5,11,15,0,0.234,700932
Luis Matos,Giants,45,156,150,32,5,14,25,0,0.213,682641
James Outman,Dodgers,53,156,136,20,4,12,11,2,0.147,681546
Tyler Wade,Padres,90,156,138,30,0,28,8,8,0.217,642180
Kris Bryant,Rockies,37,155,133,29,2,9,15,0,0.218,592178
Alex Jackson,Rays,58,155,139,17,3,17,12,1,0.122,656577
Victor Scott II,Cardinals,53,155,145,26,2,14,10,5,0.179,687363
Luke Maile,Reds,55,154,135,24,2,8,8,2,0.178,571912
Tommy Edman,Dodgers,37,153,139,33,6,20,20,6,0.237,669242
Christian Bethancourt,Cubs,62,147,139,29,5,18,22,3,0.209,542194
Martín Maldonado,Sox,48,147,135,16,4,9,11,0,0.119,455117
Austin Hedges,Guardians,66,146,132,20,2,12,15,2,0.152,595978
Jonathan Aranda,Rays,44,143,128,30,6,22,14,0,0.234,666018
Andruw Monasterio,Brewers,59,142,125,26,1,14,16,6,0.208,655316
Danny Mendick,Sox,47,141,132,26,3,13,8,6,0.197,664901
Tomás Nido,Cubs,49,140,130,25,4,14,12,0,0.192,621512
Darell Hernaiz,Athletics,48,135,120,23,1,8,12,1,0.192,687231
Dairon Blanco,Royals,88,132,120,31,4,37,13,31,0.258,680118
Andrés Chaparro,Nationals,33,132,121,26,4,12,15,1,0.215,665953
Dylan Crews,Nationals,31,132,119,26,3,12,8,12,0.218,686611
Curtis Mead,Rays,38,132,122,29,1,10,7,2,0.238,678554
Riley Adams,Nationals,41,130,116,26,2,10,8,1,0.224,656180
Grant McCray,Giants,37,130,124,25,5,13,10,5,0.202,687529
Luis Torrens,Mets,48,130,118,27,3,14,15,0,0.229,620443
Mike Trout,Angels,29,126,109,24,10,17,14,6,0.22,545361
Curt Casali,Giants,41,125,108,21,1,12,8,0,0.194,592200
Michael Stefanic,Angels,40,124,110,24,0,8,8,0,0.218,683021
Christian Encarnacion-Strand,Reds,29,123,116,22,2,13,16,0,0.19,687952
Brett Harris,Athletics,36,123,103,15,3,15,12,0,0.146,695391
Henry Davis,Pirates,37,122,104,15,1,9,5,0,0.144,680779
Brooks Baldwin,Sox,33,121,114,24,2,9,8,4,0.211,681460
José Abreu,Astros,35,120,113,14,2,10,7,0,0.124,547989
Kody Clemens,Phillies,44,120,114,25,5,17,18,0,0.219,665019
Jerar Encarnacion,Giants,35,119,113,28,5,13,19,1,0.248,666464
Trey Sweeney,Tigers,36,119,110,24,4,11,17,2,0.218,700242
Garrett Cooper,Sox,36,116,107,22,1,6,11,0,0.206,643265
Vaughn Grissom,Sox,31,114,105,20,0,10,6,2,0.19,687093
Jose Herrera,Diamondbacks,42,114,97,22,1,11,13,0,0.227,645444
Heston Kjerstad,Orioles,39,114,99,25,4,8,14,1,0.253,677008
Alex Call,Nationals,30,113,99,34,3,15,14,5,0.343,669743
Casey Schmitt,Giants,40,113,107,27,6,11,16,0,0.252,669477
Estevan Florial,Guardians,36,111,98,17,3,11,11,2,0.173,664314
Ryan Noda,Athletics,36,111,95,13,1,8,4,0,0.137,676116
Luis Urías,Mariners,41,109,94,18,4,11,16,0,0.191,649966
Sean Bouchard,Rockies,31,108,91,17,1,14,8,4,0.187,656248
Dane Myers,Marlins,44,108,95,25,3,17,19,4,0.263,667472
Bryan Ramos,Sox,32,108,99,20,3,13,11,0,0.202,682868
Niko Kavadas,Angels,30,106,93,17,4,11,8,1,0.183,694359
Miles Mastrobuoni,Cubs,50,106,98,19,0,9,4,2,0.194,670156
Trevor Story,Sox,26,106,94,24,2,8,10,6,0.255,596115
Nick Allen,Athletics,41,105,97,17,1,6,4,0,0.175,669397
Oliver Dunn,Brewers,41,104,95,21,1,11,7,3,0.221,686554
Alek Thomas,Diamondbacks,39,103,95,18,3,13,17,4,0.189,677950
Jacob Wilson,Athletics,28,103,92,23,0,11,3,0,0.25,805779
Ben Gamel,Astros,38,99,81,20,1,22,4,1,0.247,592325
Aaron Schunk,Rockies,39,98,94,22,2,14,7,0,0.234,668845
Weston Wilson,Phillies,41,98,88,25,3,13,10,3,0.284,642215
Tucker Barnhart,Diamondbacks,31,96,81,14,0,13,6,1,0.173,571466
Yan Gomes,Cubs,34,96,91,14,2,7,7,0,0.154,543228
Ali Sánchez,Marlins,31,96,84,14,0,5,4,2,0.167,645305
Alika Williams,Pirates,37,96,87,18,0,13,5,1,0.207,675961
Miguel Sanó,Angels,28,95,83,17,2,9,6,0,0.205,593934
Jace Jung,Tigers,34,94,79,19,0,14,3,0,0.241,690291
Nick Madrigal,Cubs,51,94,86,19,0,5,10,1,0.221,663611
Bobby Dalbec,Sox,37,93,83,11,1,6,8,3,0.133,666915
Andrew Knizner,Rangers,37,93,90,15,1,5,9,0,0.167,668800
Trey Cabbage,Astros,45,91,86,18,1,12,8,1,0.209,663550
Nathan Lukes,Jays,22,91,76,23,1,13,10,1,0.303,664770
Griffin Conine,Marlins,30,89,82,22,3,14,12,0,0.268,665052
Zack Short,Braves,42,88,70,9,0,11,5,2,0.129,670097
Adrian Del Castillo,Diamondbacks,25,87,80,25,4,12,19,1,0.312,680728
Dillon Dingler,Tigers,27,87,84,14,1,2,11,0,0.167,693307
Leo Rivas,Mariners,43,86,73,17,0,10,8,3,0.233,660844
Nick Sogard,Sox,31,86,77,21,0,13,8,3,0.273,686765
Will Wagner,Jays,24,86,82,25,2,8,11,0,0.305,695238
Akil Baddoo,Tigers,31,82,73,10,2,7,5,1,0.137,668731
Ji Hwan Bae,Pirates,29,81,74,14,0,11,6,6,0.189,678225
Marco Luciano,Giants,27,81,76,16,0,10,3,0,0.211,682617
Brandon Crawford,Cardinals,29,80,71,12,1,5,4,0,0.169,543063
José Azocar,Padres,61,79,73,16,0,13,2,5,0.219,640492
José Fermín,Cardinals,45,79,71,11,0,7,4,2,0.155,665877
Daniel Vogelbach,Jays,31,79,70,13,1,5,8,0,0.186,596129
Nasim Nuñez,Nationals,51,78,61,15,0,14,1,8,0.246,683083
Joshua Palacios,Pirates,23,78,67,15,2,10,9,1,0.224,641943
Chuckie Robinson,Sox,26,76,70,9,0,2,0,0,0.129,642020
Zach DeLoach,Sox,22,75,67,14,1,10,5,0,0.209,676113
Bligh Madris,Tigers,21,75,67,18,1,8,5,0,0.269,676632
Jon Berti,Yankees,25,74,66,18,1,10,6,5,0.273,542932
Eric Wagaman,Angels,18,74,72,18,2,6,10,0,0.25,676572
Bryce Johnson,Padres,47,73,63,13,0,9,4,1,0.206,669369
Jacob Amaya,Sox,24,72,68,12,0,4,3,1,0.176,676070
Ryan Bliss,Mariners,33,71,63,14,2,10,9,5,0.222,669208
Jack López,Angels,27,71,67,17,1,4,6,0,0.254,605346
Brian Serven,Jays,28,71,63,10,0,6,3,0,0.159,661531
Eric Haase,Brewers,30,69,66,18,5,10,14,0,0.273,606992
Omar Narváez,Mets,28,69,65,10,0,4,5,0,0.154,553882
Jacob Hurtubise,Reds,29,68,54,10,0,7,4,2,0.185,674441
Jasson Domínguez,Yankees,18,67,56,10,2,8,4,5,0.179,691176
Braden Shewmake,Sox,29,67,64,8,1,4,4,5,0.125,669699
Alan Trejo,Rockies,28,67,63,9,0,4,1,0,0.143,676701
Jonatan Clase,Jays,26,66,61,15,1,7,5,3,0.246,682729
Zach Dezenzo,Astros,19,65,62,15,2,5,8,0,0.242,701305
Yuli Gurriel,Royals,18,65,54,13,0,7,6,1,0.241,493329
Ryan Kreidler,Tigers,35,65,59,7,1,9,2,5,0.119,668952
Esteury Ruiz,Athletics,29,65,55,11,2,10,8,5,0.2,665923
Pablo Reyes,Mets,22,64,60,11,0,5,5,1,0.183,622569
Aaron Hicks,Angels,18,63,57,8,1,6,5,0,0.14,543305
David Dahl,Phillies,19,62,58,12,3,6,8,0,0.207,621311
Mike Ford,Reds,17,62,60,9,1,2,4,0,0.15,645801
Drew Millas,Nationals,20,62,57,14,1,7,1,4,0.246,686452
Jared Walsh,Rangers,17,60,53,12,1,9,7,0,0.226,665120
Kyren Paris,Angels,21,59,51,6,1,4,5,1,0.118,677347
David Hensley,Marlins,23,58,52,11,1,9,4,1,0.212,682073
Tyler Black,Brewers,18,57,49,10,0,4,2,3,0.204,672012
Mason McCoy,Padres,19,57,49,10,0,7,3,1,0.204,669200
Eguy Rosario,Padres,30,57,53,13,3,5,6,0,0.245,666703
Cole Tucker,Angels,25,57,50,9,0,3,3,3,0.18,657061
Rafael Marchán,Phillies,17,56,51,15,3,8,6,0,0.294,665561
Chadwick Tromp,Braves,19,54,52,13,0,3,6,0,0.25,644433
Drew Romo,Rockies,16,53,51,9,0,4,6,0,0.176,691011
Thomas Saggese,Cardinals,18,52,49,10,1,5,4,0,0.204,695336
Luke Williams,Braves,37,52,46,9,0,8,4,3,0.196,663897
Avisaíl García,Marlins,18,51,50,12,2,4,2,0,0.24,541645
Rece Hinds,Reds,24,51,46,12,5,9,11,2,0.261,677956
Austin Shenton,Rays,19,50,42,9,1,3,3,0,0.214,668853
