Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Roddery Muñoz","STL",0,0,0,9,0,11,11.454546447627887,7.363637002046499,3.2727275564651106,0.20833333333333334,0.64516129,0.222222222,0.333333333,96.11581260279605,8.181818891162775,8.059752696197576,7.771500356532361,4.7261247995539994,-0.2550390362739563,"Roddery Munoz",25311,682610
"Zach Eflin","BAL",6,5,0,14,14,71.1,6.308411664760388,1.6401870328377008,2.2710281993137396,0.30973451327433627,0.70694087,0.40167364,0.193548387,92.00828721788194,5.929906964874764,4.4873069813948225,5.644482291522586,4.374132989857562,-0.2552151381969452,"Zach Eflin",13774,621107
"Sean Reynolds","SDP",0,1,0,19,1,27,8.333335688085397,5.66666826789807,1.3333337100936635,0.23529411764705882,0.69767442,0.314285714,0.133333333,96.04740047454834,5.333334840374654,6.298733457506951,5.431433263368097,5.218550960393028,-0.2559995949268341,"Sean Reynolds",22253,669308
"Seth Halvorsen","COL",1,2,11,42,0,39.2,8.168068536080199,4.764706646046782,1.5882355486822608,0.3119266055045872,0.68965517,0.543859649,0.194444444,100.07485836988305,4.991597438715677,4.372935002647092,5.2023635403011586,4.307471346428018,-0.2561160922050476,"Seth Halvorsen",33294,678020
"José Leclerc","ATH",0,1,0,10,0,9,8.000002543132318,5.0000015894577,3.0000009536746197,0.3333333333333333,0.86956522,0.333333333,0.214285714,94.66269654865506,6.000001907349239,6.760628147734094,7.357359882637733,5.422287090508389,-0.25670936703681946,"Jose Leclerc",14524,600917
"Michel Otañez","ATH",0,0,0,6,0,5.1,10.125002413988689,8.43750201165724,3.3750008046628963,0.35714285714285715,0.49019608,0.375,0.25,97.27781288296569,13.500003218651585,7.593201024141811,9.135137748718602,6.57274610998864,-0.26020923256874084,"Michel Otanez",22533,671305
"Chris Flexen","CHC",5,1,1,21,1,43.2,4.53435140911722,2.473282586791211,1.4427481756282063,0.22627737226277372,0.7960199,0.354609929,0.114754098,92.36205966550091,3.0916032334890136,5.0822542825401245,5.035899787685218,5.105657765850196,-0.2641037255525589,"Chris Flexen",13896,623167
"Cole Henry","WSN",1,2,2,57,0,52.2,8.886078309333449,5.468355882666738,1.196202849333349,0.2589928057553957,0.77427822,0.317241379,0.1,94.48448799070248,4.272153033333389,4.461812187590992,5.337668548725334,5.658967723339913,-0.26651182770729065,"Cole Henry",27570,669371
"Sawyer Gipson-Long","DET",0,2,0,8,3,31.1,7.4680856367537265,1.7234043777123984,2.297872503616531,0.2857142857142857,0.51948052,0.404040404,0.210526315,92.90360201322116,7.18085157380166,6.2102625735362675,5.5606684053575695,4.111288322495035,-0.26920096576213837,"Sawyer Gipson-Long",26048,687830
"Sam Aldegheri","LAA",0,2,0,4,2,13.2,7.902439943457806,6.5853666195481715,1.9756099858644516,0.38636363636363635,0.67114094,0.404255319,0.15,91.74619618662588,7.902439943457806,7.261185064039826,7.305868510587297,6.708413779825985,-0.27213945239782333,"Sam Aldegheri",26443,691951
"Eli Morgan","CHC",0,1,0,7,0,7.1,4.90909239871488,3.6818192990361602,3.6818192990361602,0.36,0.46296296,0.428571428,0.23076923,92.08852288661859,12.2727309967872,5.3483384807778585,8.589683427889987,6.004584156053061,-0.2722642421722412,"Eli Morgan",20203,669212
"Javier Sanoja","MIA",0,0,0,8,0,9.1,0.9642858456592349,4.821429228296175,3.8571433826369397,0.45454545454545453,0.51282051,0.229166666,0.166666666,62.453423713235296,16.392859376206996,8.731777678072135,10.099422981301263,8.492466714699663,-0.27710676193237305,"Javier Sanoja",28253,691594
