Name,Team,W,L,SV,G,GS,IP,SO,ER,BB,H,ERA,WHIP,MLBAMID
Alexis Díaz,Reds,2,5,28,60,0,56.3,55,25,31,42,3.99,1.3,664747
Pierce Johnson,Braves,6,6,2,58,0,56.3,67,23,25,48,3.67,1.3,572955
Burch Smith,Orioles,4,1,0,50,0,56.3,46,31,12,64,4.95,1.35,572143
Bobby Miller,Dodgers,2,4,0,13,13,56.0,52,53,30,69,8.52,1.77,676272
Adam Ottavino,Mets,2,2,1,60,0,56.0,70,27,23,49,4.34,1.29,493603
Shelby Miller,Tigers,6,8,2,51,0,55.7,49,28,13,41,4.53,0.97,571946
John Brebbia,Braves,0,6,2,59,0,55.3,67,36,19,56,5.86,1.36,605154
Ben Brown,Cubs,1,3,0,15,8,55.3,64,22,19,41,3.58,1.08,676962
Aaron Bummer,Braves,4,3,0,56,0,55.3,69,22,18,61,3.58,1.43,607481
Justin Slaten,Sox,6,2,2,44,0,55.3,58,18,9,47,2.93,1.01,686580
Ryne Stanek,Mets,7,3,7,63,0,55.3,67,30,25,48,4.88,1.32,592773
Keaton Winn,Giants,3,8,0,12,12,55.3,48,44,20,56,7.16,1.37,676775
Scott Barlow,Guardians,3,3,2,63,0,55.0,68,26,31,44,4.25,1.36,605130
Carlos Estévez,Phillies,4,5,26,54,0,55.0,50,15,12,38,2.45,0.91,608032
Kenley Jansen,Sox,4,2,27,54,0,54.7,62,20,20,38,3.29,1.06,445276
Kyle Nicolas,Pirates,2,2,0,51,0,54.7,55,24,31,51,3.95,1.5,693312
Evan Phillips,Dodgers,5,1,18,61,0,54.7,63,22,17,48,3.62,1.19,623465
Jhoan Duran,Twins,6,9,23,58,0,54.3,66,22,15,48,3.64,1.16,661395
Caleb Ferguson,Astros,1,4,1,62,0,54.3,67,28,25,56,4.64,1.49,657571
Spencer Turnbull,Phillies,3,0,0,17,7,54.3,58,16,20,37,2.65,1.05,605513
Edwin Díaz,Mets,6,4,20,54,0,53.7,84,21,20,36,3.52,1.04,621242
Calvin Faucher,Marlins,2,3,6,53,0,53.7,63,19,26,49,3.19,1.4,676534
Bryan Hoeing,Padres,2,3,0,34,2,53.7,43,13,14,43,2.18,1.06,663773
Cionel Pérez,Orioles,2,0,2,62,0,53.7,46,27,28,47,4.53,1.4,672335
Angel Zerpa,Royals,2,0,0,60,0,53.7,49,23,19,59,3.86,1.45,672582
Justin Anderson,Sox,1,2,1,56,0,53.3,57,26,32,48,4.39,1.5,605121
Chad Green,Jays,4,6,17,53,0,53.3,46,19,14,41,3.21,1.03,643338
Chad Kuhl,Sox,0,2,1,31,1,53.3,54,30,25,56,5.06,1.52,641771
Anthony Bender,Marlins,5,2,1,59,0,53.0,59,24,18,50,4.08,1.28,669622
Luke Jackson,Braves,4,3,0,52,0,53.0,59,30,26,52,5.09,1.47,592426
Jorge López,Cubs,2,3,4,52,0,53.0,50,17,19,46,2.89,1.23,605347
Gregory Soto,Orioles,3,5,2,66,0,53.0,65,26,27,56,4.42,1.57,642397
Seth Martinez,Astros,3,2,1,44,0,52.7,36,21,18,49,3.59,1.27,661527
Craig Kimbrel,Orioles,7,5,23,57,0,52.3,73,31,31,40,5.33,1.36,518886
Randy Rodríguez,Giants,3,2,0,35,1,52.3,53,25,18,47,4.3,1.24,678495
José Suarez,Angels,1,2,1,22,3,52.3,56,35,27,57,6.02,1.61,660761
Huascar Brazobán,Mets,1,3,0,39,0,51.7,51,22,25,38,3.83,1.22,623211
John Schreiber,Royals,4,3,2,59,0,51.7,46,21,20,48,3.66,1.32,670167
Tyler Ferguson,Athletics,4,2,2,48,0,51.3,62,21,24,32,3.68,1.09,621053
Colin Holderman,Pirates,3,6,0,55,0,51.3,56,18,25,42,3.16,1.31,670059
Elvis Peguero,Brewers,7,4,2,52,0,51.3,47,17,27,52,2.98,1.54,665625
Brennan Bernardino,Sox,4,3,0,57,3,51.0,56,23,22,50,4.06,1.41,657514
Michael Grove,Dodgers,4,4,0,39,2,51.0,54,29,16,46,5.12,1.22,675627
Tanner Rainey,Nationals,0,0,0,50,0,51.0,44,27,29,47,4.76,1.49,663432
José Ruiz,Phillies,5,1,1,52,0,51.0,52,21,17,51,3.71,1.33,614179
Hunter Harvey,Royals,2,4,1,49,0,50.7,55,25,16,51,4.44,1.32,640451
Carmen Mlodzinski,Pirates,5,5,0,40,4,50.7,46,19,19,41,3.38,1.18,669387
Landen Roupp,Giants,1,2,0,23,4,50.3,47,20,26,43,3.58,1.37,694738
Davis Martin,Sox,0,5,0,11,10,50.0,47,24,23,50,4.32,1.46,663436
Eduardo Rodriguez,Diamondbacks,3,4,0,10,10,50.0,47,28,19,56,5.04,1.5,593958
Anthony Banda,Dodgers,3,2,2,48,2,49.7,50,17,18,44,3.08,1.25,607455
Bryce Elder,Braves,2,5,0,10,10,49.7,46,36,17,64,6.52,1.63,693821
Andrew Nardi,Marlins,3,2,0,59,0,49.7,70,28,18,44,5.07,1.25,677053
Quinn Priester,Sox,3,6,0,11,7,49.7,33,26,14,56,4.71,1.41,682990
Louis Varland,Twins,0,6,0,16,7,49.7,49,42,16,68,7.61,1.69,686973
Kyle Muller,Athletics,0,1,0,21,0,49.3,36,22,10,48,4.01,1.18,666205
Lucas Sims,Sox,1,6,1,58,0,49.3,49,24,30,41,4.38,1.44,608371
Spencer Bivens,Giants,3,1,1,27,2,48.7,37,17,11,47,3.14,1.19,702352
Kyle Leahy,Cardinals,1,1,1,33,0,48.7,33,22,10,40,4.07,1.03,681517
Matt Moore,Angels,5,3,1,51,0,48.3,41,27,26,39,5.03,1.34,519043
Zach Pop,Jays,2,4,1,58,0,48.3,33,30,19,45,5.59,1.32,647315
Joe Boyle,Athletics,3,6,0,13,10,47.7,56,34,40,42,6.42,1.72,671212
Christian Scott,Mets,0,3,0,9,9,47.3,39,24,12,45,4.56,1.2,681035
Caleb Thielbar,Twins,2,4,3,59,0,47.3,53,28,24,50,5.32,1.56,573204
Stephen Kolek,Padres,3,0,0,42,0,46.7,39,27,12,59,5.21,1.52,663568
Blake Treinen,Dodgers,7,3,1,50,0,46.7,56,10,11,33,1.93,0.94,595014
Justin Wilson,Reds,1,5,2,60,0,46.7,51,29,13,55,5.59,1.46,458677
Trevor Megill,Brewers,1,3,21,48,0,46.3,50,14,14,33,2.72,1.01,656730
Jordan Wicks,Cubs,2,4,0,11,10,46.0,42,28,20,55,5.48,1.63,696136
Brendon Little,Jays,1,2,1,49,0,45.7,36,19,19,41,3.74,1.31,663893
Shawn Dubin,Astros,1,1,2,31,2,45.3,49,21,26,45,4.17,1.57,681869
Pete Fairbanks,Rays,3,3,23,46,0,45.3,44,18,17,36,3.57,1.17,664126
Brant Hurter,Tigers,6,1,0,10,1,45.3,38,13,6,34,2.58,0.88,676428
Yohan Ramírez,Sox,0,5,1,38,0,45.0,45,31,17,49,6.2,1.47,670990
Chris Martin,Sox,3,1,2,45,0,44.3,50,17,3,47,3.45,1.13,455119
Steven Matz,Cardinals,1,2,0,12,7,44.3,33,25,15,49,5.08,1.44,571927
Drew Thorpe,Sox,3,3,0,9,9,44.3,25,27,21,35,5.48,1.26,689672
Jhony Brito,Padres,1,2,0,26,0,43.7,29,20,10,49,4.12,1.35,666745
Jacob Latz,Rangers,2,3,0,46,0,43.7,40,18,27,39,3.71,1.51,656641
Jonathan Hernández,Mariners,3,1,0,29,1,43.3,39,26,28,41,5.4,1.59,642546
Daniel Lynch IV,Royals,2,0,1,16,3,43.3,39,16,14,29,3.32,0.99,663738
Max Scherzer,Rangers,2,4,0,9,9,43.3,40,19,10,40,3.95,1.15,453286
DL Hall,Brewers,1,2,0,13,7,43.0,44,24,21,48,5.02,1.6,669084
Porter Hodge,Cubs,3,1,9,39,0,43.0,52,9,19,19,1.88,0.88,687863
Cam Booser,Sox,2,3,1,43,0,42.7,43,16,16,41,3.38,1.34,592155
Xzavion Curry,Marlins,2,2,0,16,5,42.7,28,22,7,38,4.64,1.05,675540
Tommy Kahnle,Yankees,0,2,1,50,0,42.7,46,10,19,30,2.11,1.15,592454
Sam Long,Royals,3,3,1,43,0,42.7,44,15,17,34,3.16,1.2,669674
Tim Mayza,Yankees,0,2,0,50,0,42.7,28,30,15,54,6.33,1.62,641835
Adam Oller,Marlins,2,4,0,8,8,42.3,36,25,22,43,5.31,1.54,670124
Darren McCaughan,Marlins,0,0,2,12,5,42.0,28,29,15,53,6.21,1.62,670766
Eli Morgan,Guardians,3,0,0,32,0,42.0,34,9,11,30,1.93,0.98,669212
Collin Snider,Mariners,3,4,0,42,0,41.7,47,9,13,36,1.94,1.18,676092
Edwin Uceta,Rays,2,0,5,30,0,41.7,57,7,8,26,1.51,0.82,670955
Jordan Weems,Nationals,1,1,0,41,0,41.7,35,31,24,49,6.7,1.75,607179
Austin Adams,Athletics,1,2,0,56,0,41.3,53,18,23,38,3.92,1.48,613534
Brad Keller,Sox,0,4,1,16,2,41.3,32,25,15,48,5.44,1.52,641745
Will Smith,Royals,0,4,1,45,0,41.3,29,30,15,45,6.53,1.45,519293
Jesus Tinoco,Marlins,1,0,3,32,0,40.7,42,15,12,27,3.32,0.96,622786
Jake Bird,Rockies,2,2,1,35,0,40.0,31,20,25,43,4.5,1.7,656234
Luis Medina,Athletics,2,4,0,8,8,40.0,32,23,20,43,5.17,1.57,665622
Matthew Boyd,Guardians,2,2,0,8,8,39.7,46,12,13,32,2.72,1.13,571510
Paul Sewald,Diamondbacks,1,2,16,42,0,39.7,43,19,10,35,4.31,1.13,623149
Kyle Bradish,Orioles,2,0,0,8,8,39.3,53,12,15,27,2.75,1.07,680694
Erik Swanson,Jays,2,2,0,45,0,39.3,37,22,14,36,5.03,1.27,657024
Alex Wood,Athletics,1,3,0,9,9,39.3,33,23,19,51,5.26,1.78,622072
Yimi García,Mariners,3,0,5,39,0,39.0,49,15,12,23,3.46,0.9,554340
Scott Alexander,Athletics,1,3,0,45,0,38.7,31,11,15,31,2.56,1.19,518397
Joey Cantillo,Guardians,2,4,0,9,8,38.7,44,21,15,35,4.89,1.29,676282
Tayler Saucedo,Mariners,2,0,3,53,0,38.7,38,15,18,35,3.49,1.37,642048
Tommy Henry,Diamondbacks,2,3,0,9,7,38.3,30,30,18,49,7.04,1.75,674072
Rafael Montero,Astros,1,2,0,41,0,38.3,23,20,19,35,4.7,1.41,606160
Wandy Peralta,Padres,3,2,0,46,0,38.3,22,17,13,33,3.99,1.2,593974
Jake Cousins,Yankees,2,1,1,37,0,38.0,53,10,20,20,2.37,1.05,664776
Emilio Pagán,Reds,4,5,1,38,1,38.0,44,19,11,40,4.5,1.34,641941
Thyago Vieira,Diamondbacks,0,1,1,28,0,38.0,39,22,26,37,5.21,1.66,600986
Ian Hamilton,Yankees,0,1,1,35,0,37.7,41,16,14,37,3.82,1.35,641656
Brent Honeywell,Dodgers,1,1,1,20,1,37.7,18,11,11,32,2.63,1.14,641703
Zebby Matthews,Twins,1,4,0,9,9,37.7,43,28,11,51,6.69,1.65,805673
Sam Moll,Reds,3,2,0,48,0,37.7,38,14,14,27,3.35,1.09,594580
Manuel Rodríguez,Rays,3,4,2,40,0,37.7,34,9,11,29,2.15,1.06,655889
Hunter Stratton,Pirates,2,1,1,36,0,37.7,33,15,7,37,3.58,1.17,676702
Danny Young,Mets,4,1,0,42,0,37.7,48,19,18,29,4.54,1.25,664849
Colin Poche,Rays,1,2,2,43,0,37.3,33,16,13,30,3.86,1.15,621363
Braxton Garrett,Marlins,2,2,0,7,7,37.0,34,22,4,40,5.35,1.19,666129
Tyler Phillips,Phillies,4,1,0,8,7,36.7,28,28,7,45,6.87,1.42,663969
Dillon Tate,Jays,2,1,1,33,0,36.7,27,19,12,42,4.66,1.47,622253
Mason Black,Giants,1,5,0,9,8,36.3,31,26,15,46,6.44,1.68,696131
JT Chargois,Mariners,3,1,0,36,0,36.3,30,9,13,24,2.23,1.02,608638
Justin Wrobleski,Dodgers,1,2,1,8,6,36.3,26,23,16,34,5.7,1.38,680736
Nick Anderson,Royals,3,1,1,37,0,35.7,29,16,15,35,4.04,1.4,623433
Jack Leiter,Rangers,0,3,0,9,6,35.7,31,35,17,44,8.83,1.71,683004
Nick Nastrini,Sox,0,7,0,9,8,35.7,26,28,36,32,7.07,1.91,680897
Sixto Sánchez,Marlins,0,3,0,14,7,35.7,17,24,14,43,6.06,1.6,664350
Steven Okert,Twins,3,2,1,44,1,35.3,33,20,16,37,5.09,1.5,595345
Dedniel Núñez,Mets,2,0,1,25,0,35.0,48,9,8,24,2.31,0.91,673380
Jake Woodford,Pirates,0,6,0,9,7,35.0,26,31,9,48,7.97,1.63,663765
Kody Funderburk,Twins,1,0,1,27,0,34.7,32,25,15,41,6.49,1.62,681892
Cristian Javier,Astros,3,1,0,7,7,34.7,27,15,19,30,3.89,1.41,664299
Ben Joyce,Angels,2,0,4,31,1,34.7,33,8,14,26,2.08,1.15,690829
Steven Wilson,Sox,1,6,0,40,0,34.7,34,22,26,29,5.71,1.59,621051
Tanner Gordon,Rockies,0,6,0,8,8,34.3,26,33,6,53,8.65,1.72,685299
Richard Lovelady,Rays,3,6,2,35,0,34.3,26,17,11,34,4.46,1.31,663992
A.J. Minter,Braves,5,4,1,39,0,34.3,35,10,11,24,2.62,1.02,621345
Chris Roycroft,Cardinals,1,2,0,27,0,34.3,33,16,17,31,4.19,1.4,688297
Brock Burke,Angels,2,1,0,34,1,34.0,41,22,16,37,5.82,1.56,656271
J.T. Ginn,Athletics,1,1,0,8,6,34.0,29,16,9,36,4.24,1.32,669372
Michel Otañez,Athletics,1,0,1,36,0,34.0,55,13,20,27,3.44,1.38,671305
Marco Gonzales,Pirates,1,1,0,7,7,33.7,23,17,11,43,4.54,1.6,594835
Adam Mazur,Padres,1,3,0,8,8,33.7,22,28,21,40,7.49,1.81,800049
Jeffrey Springs,Rays,2,2,0,7,7,33.0,37,12,11,34,3.27,1.36,605488
Ryan Burr,Jays,0,2,0,34,4,32.7,47,15,12,29,4.13,1.26,621114
Scott McGough,Diamondbacks,1,3,0,26,2,32.7,25,27,21,34,7.44,1.68,543518
Jake Diekman,Mets,2,3,4,43,0,32.0,40,20,24,23,5.62,1.47,518617
Jose A. Ferrer,Nationals,1,0,1,31,0,32.0,25,12,6,27,3.38,1.03,678606
Joe Kelly,Dodgers,1,1,0,35,0,32.0,35,17,16,31,4.78,1.47,523260
Julian Aguiar,Reds,2,1,0,7,7,31.7,19,22,12,30,6.25,1.33,687924
Angel Chivilli,Rockies,2,3,1,30,0,31.7,28,16,10,31,4.55,1.29,683409
Kyle Tyler,Marlins,0,2,0,8,7,31.7,25,19,18,37,5.4,1.74,667725
Josh Fleming,Pirates,1,1,1,25,3,31.3,17,14,14,34,4.02,1.53,676596
Michael Kelly,Athletics,3,2,0,28,0,31.3,22,9,10,27,2.59,1.18,547184
Jordan Leasure,Sox,0,2,2,33,0,31.3,26,22,18,32,6.32,1.6,673929
Bradley Blalock,Rockies,1,3,0,7,6,30.7,20,20,20,35,5.87,1.79,687134
Matt Bowman,Orioles,1,0,0,25,1,30.7,24,15,13,26,4.4,1.27,621199
Rhett Lowder,Reds,2,2,0,6,6,30.7,22,4,14,25,1.17,1.27,695076
Robbie Ray,Giants,3,2,0,7,7,30.7,43,16,15,20,4.7,1.14,592662
Kris Bubic,Royals,1,1,1,27,0,30.3,39,9,5,26,2.67,1.02,663460
Davis Daniel,Angels,1,4,0,6,6,30.3,28,21,6,39,6.23,1.48,669721
Keegan Thompson,Cubs,2,1,2,24,0,30.3,36,9,18,19,2.67,1.22,624522
Yonny Chirinos,Marlins,0,2,0,6,6,30.0,25,21,13,43,6.3,1.87,630023
Carlos Hernández,Royals,0,1,0,27,0,30.0,27,11,16,24,3.3,1.33,672578
Clayton Kershaw,Dodgers,2,2,0,7,7,30.0,24,15,9,36,4.5,1.5,477132
Tony Santillan,Reds,3,3,0,29,1,30.0,46,10,9,21,3.0,1.0,663574
Brandon Bielak,Athletics,1,0,0,16,0,29.7,14,17,13,39,5.16,1.75,656232
Danny Coulombe,Orioles,1,0,1,33,0,29.7,32,7,5,15,2.12,0.67,543056
Brenan Hanifee,Tigers,1,1,0,21,3,29.3,23,6,6,27,1.84,1.12,669724
Eduardo Salazar,Nationals,0,1,0,26,0,29.3,27,9,14,34,2.76,1.64,674285
George Soriano,Marlins,1,1,1,22,0,29.3,29,22,13,27,6.75,1.36,666277
Spencer Howard,Guardians,1,2,0,9,3,29.0,27,20,14,44,6.21,2.0,675921
Drew Rasmussen,Rays,0,2,1,16,4,28.7,35,9,6,25,2.83,1.08,656876
Aaron Ashby,Brewers,1,2,0,14,2,28.3,33,9,10,20,2.86,1.06,676879
Yilber Díaz,Diamondbacks,1,1,0,7,4,28.3,19,12,12,27,3.81,1.38,700270
Logan Allen,Diamondbacks,0,1,1,12,0,28.0,21,17,10,32,5.46,1.5,663531
Ryan Brasier,Dodgers,1,0,0,29,4,28.0,25,11,5,22,3.54,0.96,518489
Robert Gasser,Brewers,2,0,0,5,5,28.0,16,8,1,28,2.57,1.04,688107
Eduard Bazardo,Mariners,2,0,0,23,0,27.7,33,15,9,20,4.88,1.05,660825
Matt Manning,Tigers,0,1,0,5,5,27.7,23,15,12,31,4.88,1.55,666159
Bryan Sammons,Tigers,1,1,0,6,0,27.3,18,11,9,16,3.62,0.91,676614
Kolby Allard,Phillies,2,0,0,7,4,27.0,23,15,8,34,5.0,1.56,663465
Grant Anderson,Rangers,0,1,1,23,0,26.7,29,24,10,33,8.1,1.61,681982
Aaron Brooks,Athletics,0,2,0,5,4,26.7,12,15,8,33,5.06,1.54,605156
Chris Devenski,Rays,2,1,0,19,0,26.7,24,20,14,28,6.75,1.57,606965
Ethan Roberts,Cubs,1,1,0,21,0,26.7,26,11,10,31,3.71,1.54,681799
Gerson Garabito,Rangers,0,2,0,18,2,26.3,22,14,12,23,4.78,1.33,642520
Jay Jackson,Twins,1,2,0,20,0,26.3,29,22,9,28,7.52,1.41,543351
Bryan King,Astros,1,0,0,28,0,26.3,32,7,10,20,2.39,1.14,687911
Gus Varland,Sox,1,0,0,26,0,26.3,27,10,8,30,3.42,1.44,681402
Luke Little,Cubs,3,1,0,30,1,26.0,28,10,18,15,3.46,1.27,681432
Yunior Marte,Phillies,0,0,0,23,0,26.0,23,20,15,34,6.92,1.88,628708
Dany Jiménez,Athletics,1,3,1,25,0,25.7,25,14,19,21,4.91,1.56,666204
Hans Crouse,Angels,4,3,0,25,0,25.3,34,8,17,14,2.84,1.22,668968
J.P. France,Astros,0,3,0,5,5,25.3,22,21,12,31,7.46,1.7,641585
Kaleb Ort,Astros,1,1,0,22,0,24.7,26,7,4,16,2.55,0.81,672391
Adam Cimber,Angels,3,0,0,28,0,24.3,19,19,14,20,7.03,1.4,643256
Alek Manoah,Jays,1,2,0,5,5,24.3,26,10,8,17,3.7,1.03,666201
Cody Poteet,Yankees,3,0,0,5,4,24.3,16,6,8,18,2.22,1.07,547001
Josh Staumont,Twins,1,0,0,25,0,24.3,18,10,14,17,3.7,1.27,622251
Fraser Ellard,Sox,2,3,1,25,0,24.0,26,10,12,18,3.75,1.25,686642
Kenny Rosenberg,Angels,0,1,0,7,1,24.0,17,16,8,28,6.0,1.5,670046
Matt Festa,Rangers,6,1,0,19,0,23.7,24,15,8,21,5.7,1.23,670036
Sam Hentges,Guardians,0,0,0,25,0,23.7,27,8,5,18,3.04,0.97,656529
Gabe Speier,Mariners,0,2,0,29,0,23.7,33,15,14,19,5.7,1.39,642100
Mitch White,Brewers,1,1,0,13,0,23.7,13,19,13,26,7.23,1.65,669952
Bryan Baker,Orioles,1,1,0,19,0,23.3,23,13,7,20,5.01,1.16,641329
Victor González,Yankees,2,1,2,27,0,23.3,11,10,13,13,3.86,1.11,624647
Ron Marinaccio,Yankees,1,0,0,16,0,23.3,25,10,10,18,3.86,1.2,676760
Ty Madden,Tigers,1,1,0,6,1,23.0,17,11,8,25,4.3,1.43,680744
Michael McGreevy,Cardinals,3,0,0,4,3,23.0,18,5,2,16,1.96,0.78,700241
Touki Toussaint,Sox,1,2,0,11,0,23.0,26,19,18,35,7.43,2.3,657053
Will Warren,Yankees,0,3,0,6,5,22.7,29,26,10,33,10.32,1.9,701542
Brady Basso,Athletics,1,1,0,7,4,22.3,19,10,5,23,4.03,1.25,669620
Ray Kerr,Braves,1,2,0,10,2,22.3,27,14,7,29,5.64,1.61,678061
Tommy Nance,Jays,0,3,0,20,0,22.0,19,10,9,18,4.09,1.23,667297
Mason Englert,Tigers,1,0,0,12,1,21.7,16,13,5,23,5.4,1.29,669438
Enoli Paredes,Cubs,1,0,1,18,0,21.7,16,4,10,13,1.66,1.06,660600
Sean Reid-Foley,Mets,1,2,0,23,0,21.7,25,4,14,13,1.66,1.25,656887
Yerry Rodríguez,Jays,1,0,0,16,0,21.7,17,21,13,26,8.72,1.8,666720
Devin Williams,Brewers,1,0,14,22,0,21.7,38,3,11,10,1.25,0.97,642207
Sean Guenther,Tigers,3,0,0,17,0,21.0,12,2,2,9,0.86,0.52,674944
Colten Brewer,Cubs,0,0,1,16,0,20.7,22,13,9,24,5.66,1.6,605155
Richard Fitts,Sox,0,1,0,4,4,20.7,9,4,7,19,1.74,1.26,690916
Giovanny Gallegos,Cardinals,2,1,1,21,0,20.7,21,15,10,24,6.53,1.65,606149
Domingo Germán,Pirates,0,1,0,7,2,20.7,18,18,13,25,7.84,1.84,593334
John Means,Orioles,2,0,0,4,4,20.7,16,6,2,16,2.61,0.87,607644
Emmanuel Ramirez,Marlins,0,1,0,15,0,20.7,21,16,8,21,6.97,1.4,642629
Erasmo Ramírez,Rays,3,0,1,13,0,20.7,15,10,10,12,4.35,1.06,541640
Ryder Ryan,Pirates,1,0,0,15,0,20.7,17,13,9,21,5.66,1.45,656924
Scott Blewett,Twins,1,1,0,12,0,20.3,18,4,8,17,1.77,1.23,656240
Noah Davis,Rockies,0,0,0,9,0,20.3,15,13,7,31,5.75,1.87,663562
River Ryan,Dodgers,1,0,0,4,4,20.3,18,3,9,15,1.33,1.18,689981
Jeff Criswell,Rockies,1,0,0,13,0,19.7,27,6,9,20,2.75,1.47,676105
Michael Petersen,Marlins,3,1,0,16,0,19.7,14,13,11,21,5.95,1.63,656848
Ronny Henriquez,Twins,1,1,0,16,1,19.3,15,7,5,20,3.26,1.29,678692
José Marte,Angels,0,0,0,14,0,19.3,14,5,10,14,2.33,1.24,665896
José Quijada,Angels,2,2,0,22,0,19.3,24,7,17,12,3.26,1.5,650671
Troy Taylor,Mariners,0,0,1,21,0,19.3,25,8,7,15,3.72,1.14,700187
Prelander Berroa,Sox,1,0,0,17,0,19.0,26,7,13,15,3.32,1.47,672860
Sean Burke,Sox,2,0,0,4,3,19.0,22,3,7,12,1.42,1.0,680732
Dominic Leone,Sox,0,2,0,23,0,19.0,17,14,14,20,6.63,1.79,608678
Anthony Maldonado,Marlins,1,1,1,16,1,19.0,11,12,7,21,5.68,1.47,687424
Cody Bolton,Mariners,0,0,0,17,0,18.7,17,9,9,18,4.34,1.45,675989
Alex Lange,Tigers,0,3,2,21,0,18.7,21,9,17,16,4.34,1.77,656638
Blake Walston,Diamondbacks,1,0,0,7,2,18.3,18,9,10,16,4.42,1.42,686796
Garrett Whitlock,Sox,1,0,0,4,4,18.3,17,4,7,14,1.96,1.15,676477
Daysbel Hernández,Braves,3,0,0,16,0,18.0,26,5,10,10,2.5,1.11,678226
Bailey Horn,Sox,1,1,0,18,0,18.0,13,13,10,22,6.5,1.78,690544
Walter Pennington,Rangers,1,0,0,16,1,18.0,17,6,11,19,3.0,1.67,679156
Ky Bush,Sox,0,3,0,4,4,17.7,11,11,16,20,5.6,2.04,681066
Kent Emanuel,Marlins,0,0,0,12,0,17.7,12,13,7,20,6.62,1.53,592288
Brandon Hughes,Diamondbacks,0,0,0,15,2,17.7,21,16,10,24,8.15,1.92,676714
Joe La Sorsa,Nationals,0,0,0,16,0,17.7,14,9,5,17,4.58,1.25,686747
Drew Smith,Mets,1,1,2,19,0,17.7,23,6,9,18,3.06,1.53,622098
Guillo Zuñiga,Angels,0,0,2,15,0,17.7,12,10,8,16,5.09,1.36,670871
Adbert Alzolay,Cubs,1,4,4,18,0,17.3,13,9,6,19,4.67,1.44,640470
Hunter Bigge,Rays,0,0,1,19,1,17.3,24,5,5,17,2.6,1.27,685801
Cole Winn,Rangers,0,1,0,13,0,17.3,14,15,4,18,7.79,1.27,668390
Zack Thompson,Cardinals,0,2,0,5,2,17.0,20,18,8,24,9.53,1.88,668868
Ryan Zeferjahn,Angels,0,0,0,12,0,17.0,18,4,6,7,2.12,0.76,666171
Dallas Keuchel,Brewers,0,0,0,4,4,16.7,11,10,8,23,5.4,1.86,572971
Shaun Anderson,Marlins,0,2,0,6,2,16.3,10,15,1,34,8.27,2.14,641312
Alex Cobb,Guardians,2,1,0,3,3,16.3,10,5,3,14,2.76,1.04,502171
Jose Cuas,Jays,0,0,0,13,0,16.3,17,14,10,19,7.71,1.78,621016
Matt Sauer,Royals,0,0,0,14,0,16.3,9,14,11,23,7.71,2.08,669422
Josh Sborz,Rangers,2,2,0,17,0,16.3,17,7,4,16,3.86,1.22,622250
Cole Sulser,Rays,1,0,0,10,2,16.3,15,5,9,9,2.76,1.1,642121
Yosver Zulueta,Reds,0,0,0,12,0,16.3,20,9,7,15,4.96,1.35,691172
Tristan Beck,Giants,0,0,0,7,1,16.0,14,3,4,14,1.69,1.12,663941
Mike Clevinger,Sox,0,3,0,4,4,16.0,15,12,9,22,6.75,1.94,605182
Yency Almonte,Cubs,1,0,1,17,0,15.7,20,6,8,9,3.45,1.09,622075
José Cisnero,Angels,0,0,0,15,0,15.7,17,12,8,18,6.89,1.66,542585
Elieser Hernández,Brewers,0,1,0,9,1,15.7,8,11,5,14,6.32,1.21,622694
Grant Holman,Athletics,1,1,0,18,0,15.7,16,7,9,17,4.02,1.66,680880
Brock Stewart,Twins,0,0,0,16,0,15.7,20,9,8,15,5.17,1.47,592779
Alex Young,Mets,0,0,0,17,0,15.7,15,5,7,15,2.87,1.4,622065
Tyler Wells,Orioles,0,2,0,3,3,15.3,13,10,3,18,5.87,1.37,669330
Julian Merryweather,Cubs,1,1,0,15,0,15.0,14,11,9,18,6.6,1.8,657240
Sammy Peralta,Sox,0,0,0,9,0,15.0,11,8,7,21,4.8,1.87,671111
Tom Cosgrove,Padres,0,1,0,18,0,14.7,15,19,6,23,11.66,1.98,676680
Alek Jacob,Padres,0,0,0,7,0,14.7,19,4,2,9,2.45,0.75,689690
Daulton Jefferies,Pirates,0,2,0,6,1,14.7,12,16,4,24,9.82,1.91,641726
Daniel Palencia,Cubs,0,1,1,10,0,14.7,16,10,12,14,6.14,1.77,694037
Abner Uribe,Brewers,2,2,3,14,0,14.3,14,11,12,15,6.91,1.88,682842
Brandon Williamson,Reds,0,0,0,4,3,14.3,12,6,5,10,3.77,1.05,682227
Tyler Beede,Guardians,1,0,0,13,0,14.0,18,13,9,16,8.36,1.79,595881
Deivi García,Sox,1,2,1,14,0,14.0,15,11,11,16,7.07,1.93,665620
Miguel Castro,Diamondbacks,0,0,0,11,0,13.7,8,9,3,20,5.93,1.68,612434
Max Lazar,Phillies,0,0,0,11,0,13.7,9,7,2,13,4.61,1.1,676661
Joely Rodríguez,Sox,0,1,0,14,0,13.7,12,9,2,19,5.93,1.54,570257
Jordan Romano,Jays,1,2,8,15,0,13.7,13,10,4,16,6.59,1.46,605447
Darius Vines,Braves,0,1,0,4,2,13.7,9,13,4,21,8.56,1.83,670241
Matt Barnes,Nationals,0,0,0,14,0,13.3,10,10,4,16,6.75,1.5,598264
Nick Ramirez,Dodgers,0,0,0,8,0,13.3,5,9,7,18,6.07,1.88,598286
