Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,MLBAMID,playerids,PlayerId
CIN,Reds,10,9,29,29,0,0,,170,712,160,84,78,27,155,53,,4,4.11192,1.25437,8.22714,2.78531,2.95376,1.43049,0.217968,0.0737932,0.14417443424463272,,0.244829,0.282074,0.734371,4.3766,648.9000000000001,3.8170588235294125,638,3.7529411764705882,2.52868,2.69907,15,221.92999267578125,18,NL,Andrew Abbott,671096,29911,29911
SDP,Padres,11,9,29,29,0,0,,172,706,148,82,75,27,188,52,,5,3.92044,1.15784,9.80315,2.69743,3.63426,1.41571,0.265961,0.0731815,0.19277942925691605,,0.227733,0.277931,0.729889,3.98365,760.8999999999999,4.423837209302325,714,4.151162790697675,2.5119,2.29484,16,96.01000213623047,29,NL,Nick Pivetta,601713,15454,15454
CHC,Cubs,11,9,29,29,0,0,,165,684,151,77,71,21,151,47,,7,3.88993,1.19967,8.23826,2.5468,3.23475,1.16371,0.220396,0.0681338,0.15226197242736816,,0.239553,0.283029,0.716511,3.96504,710.1,4.303636363636364,692,4.193939393939394,2.49004,2.54582,16,212.75999450683594,17,NL,Matthew Boyd,571510,15440,15440
LAD,Dodgers,10,6,24,43,0,1,,148,605,123,70,64,21,168,47,,6,3.91286,1.15303,10.2207,2.88999,3.53659,1.27336,0.276742,0.0782512,0.19849129766225815,,0.222325,0.280119,0.712563,3.78815,698.1000000000001,4.716891891891893,648,4.378378378378378,2.47872,2.05853,11,111.20999908447266,22,NL,Emmet Sheehan,686218,29839,29839
KCR,Royals,9,8,24,34,0,1,,142,596,131,64,59,16,138,46,,5,3.75309,1.25008,8.73851,2.94267,2.96958,0.982484,0.231528,0.0779667,0.1535617932677269,,0.240826,0.295658,0.726186,3.69396,640.4,4.509859154929577,629,4.429577464788732,2.45357,2.37718,12,190.69000244140625,7,AL,Kris Bubic,663460,21455,21455
CIN,Reds,9,8,27,27,0,0,,154,646,143,75,69,22,156,40,,14,4.02573,1.18536,9.14119,2.30809,3.9605,1.30792,0.242109,0.061131,0.18097830936312675,,0.241227,0.291322,0.712044,4.02621,647.2,4.202597402597403,634,4.116883116883117,2.44622,2.55454,14,127.94999694824219,18,NL,Nick Lodolo,666157,26378,26378
PIT,Pirates,10,12,30,30,0,0,,180,766,178,94,86,23,158,54,,10,4.31868,1.29004,7.89745,2.68277,2.94377,1.12752,0.206114,0.070017,0.13609672337770462,,0.254219,0.298937,0.689418,4.07493,710.3,3.9461111111111107,725,4.027777777777778,2.44007,2.0874,15,518.6300048828125,27,NL,Mitch Keller,656605,17594,17594
CIN,Reds,11,12,30,30,0,0,,174,743,170,93,85,25,162,56,,10,4.40123,1.29336,8.37321,2.87571,2.9117,1.29075,0.218372,0.0749981,0.1433737650513649,,0.250742,0.295517,0.697261,4.2686,664.1000000000001,3.8166666666666673,671,3.8563218390804597,2.42731,2.07155,15,388.25,18,NL,Brady Singer,663903,25377,25377
SEA,Mariners,12,10,30,30,0,0,,182,754,166,86,79,25,169,51,,7,3.89864,1.19037,8.36405,2.51243,3.32907,1.25094,0.224589,0.0674629,0.15712586045265198,,0.238461,0.280512,0.722568,4.03362,771.6999999999999,4.24010989010989,749,4.115384615384615,2.39405,2.00596,16,171.0500030517578,11,AL,Luis Castillo,622491,15689,15689
BAL,Orioles,9,9,27,27,0,0,,156,659,149,76,70,18,136,50,,5,4.02661,1.27567,7.83589,2.89651,2.70529,1.06353,0.206335,0.0762709,0.13006377965211868,,0.246863,0.290666,0.710992,3.99739,652.6,4.183333333333334,653,4.185897435897436,2.3867,1.89808,14,146.07000732421875,2,AL,Trevor Rogers,669432,22286,22286
ATL,Braves,10,9,25,25,0,0,,151,631,131,72,66,21,175,54,,7,3.95203,1.22416,10.43,3.23499,3.22412,1.22229,0.277388,0.0860352,0.19135251641273499,,0.229082,0.293913,0.722286,3.79232,685.5000000000001,4.539735099337749,649,4.298013245033113,2.37954,2.34081,13,124.86000061035156,16,NL,Spencer Strider,675911,27498,27498
CIN,Reds,6,6,19,27,0,1,,109,445,92,47,43,14,128,34,,3,3.59216,1.16546,10.624,2.83297,3.75012,1.17562,0.287742,0.0767288,0.21101323515176773,,0.226206,0.29395,0.744592,3.49757,544.1999999999998,4.992660550458714,512,4.697247706422019,2.3467,2.2415,10,109.72000122070312,18,NL,Chase Burns,695505,35333,35333
ARI,Diamondbacks,11,8,29,29,0,0,,166,696,158,82,75,21,150,49,,4,4.07073,1.24509,8.11802,2.65163,3.06152,1.14926,0.215834,0.0704988,0.14533483982086182,,0.246205,0.290652,0.706598,3.94725,700.3000000000002,4.218674698795182,698,4.204819277108434,2.32081,2.3217,15,284.17999267578125,15,NL,Merrill Kelly,518876,11156,11156
NYM,Mets,9,7,29,29,0,0,,161,694,155,77,71,15,144,62,,7,3.95257,1.34637,8.03419,3.45776,2.32352,0.861851,0.207673,0.0893784,0.11829438805580139,,0.248721,0.300833,0.716821,3.8848,684.9000000000001,4.254037267080746,691,4.291925465838509,2.30409,2.15939,15,452.0400085449219,25,NL,David Peterson,656849,20302,20302
NYM,Mets,11,8,25,25,0,0,,151,637,133,67,62,16,149,57,,9,3.7013,1.25553,8.88289,3.39055,2.6199,0.950544,0.23378,0.0892323,0.14454718679189682,,0.231946,0.286768,0.729923,3.83339,674.8000000000002,4.468874172185432,647,4.28476821192053,2.24458,2.58965,14,87.29000091552734,25,NL,Nolan McLean,690997,33703,33703
LAA,Angels,9,10,30,30,0,0,,173,736,166,88,81,26,175,62,,5,4.23661,1.31944,9.13058,3.22995,2.82684,1.37472,0.238172,0.0842536,0.15391815453767776,,0.248171,0.298824,0.730623,4.25885,677.8000000000001,3.917919075144509,676,3.907514450867052,2.232,1.9541,15,506.57000732421875,1,AL,Yusei Kikuchi,579328,20633,20633
NYY,Yankees,12,9,27,27,0,0,,155,647,133,76,70,22,164,56,,7,4.04365,1.21919,9.53479,3.26824,2.91741,1.27646,0.253905,0.087031,0.16687384247779846,,0.227308,0.278471,0.716054,4.07945,669.5999999999999,4.319999999999999,628,4.051612903225807,2.22066,1.86025,14,202.3000030517578,9,AL,Carlos Rodón,607074,16137,16137
DET,Tigers,9,9,27,27,0,0,,149,625,147,74,68,20,130,40,,5,4.121,1.25766,7.84931,2.41653,3.24817,1.21343,0.207434,0.0638619,0.14357250183820724,,0.253685,0.295393,0.710967,4.05942,599.4000000000001,4.022818791946309,610,4.093959731543624,2.1444,1.79585,14,289.6499938964844,6,AL,Casey Mize,663554,20492,20492
KCR,Royals,11,11,29,29,0,0,,170,720,170,89,82,23,131,50,,5,4.35566,1.29442,6.93993,2.67041,2.59883,1.22985,0.182029,0.0700428,0.11198645085096359,,0.255318,0.287024,0.696553,4.35472,630.0999999999999,3.7064705882352937,648,3.8117647058823527,2.11593,1.82495,14,609.2899780273438,7,AL,Michael Wacha,608379,14078,14078
ARI,Diamondbacks,12,11,30,30,0,0,,176,744,167,89,82,22,167,57,,6,4.19927,1.27403,8.53005,2.92355,2.91771,1.13461,0.224701,0.077013,0.14768828451633453,,0.245955,0.295519,0.69872,3.95481,742.6000000000001,4.219318181818182,739,4.198863636363637,2.11095,2.25196,15,222.69000244140625,15,NL,Zac Gallen,668678,19291,19291
