Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,MLBAMID,playerids,PlayerId
WSN,Nationals,7.6067,10.2116,25.44,25.44,0.0,0.0,,148.866,631.861,158.211,80.0827,74.8939,24.563,112.007,32.8884,,5.9294,4.52785,1.2837,6.77162,1.98833,3.40568,1.485,0.177266,0.0520501,0.1252158284187317,,0.266778,0.292784,0.708416,4.5576,491.3000000000001,3.2973154362416115,527,3.5369127516778525,1.48851,1.42558,11.535,709.4099731445312,24.0,NL,Zack Littell,641793.0,15823,15823
STL,Cardinals,8.6881,9.9528,25.44,35.2548,0.0,0.6528,,156.845,677.837,152.479,79.5348,73.7171,20.0064,144.088,58.7691,,8.6858,4.23,1.34686,8.268,3.37226,2.45177,1.148,0.212571,0.0867009,0.12586963921785355,,0.249809,0.296832,0.718806,4.24625,608.5999999999999,3.8764331210191076,613,3.9044585987261144,1.48002,1.53694,11.95,414.6700134277344,28.0,NL,Dustin May,669160.0,19716,19716
LAD,Dodgers,7.3198,6.5969,17.49,39.0826,0.0,0.7573,,117.181,502.9,112.83,58.9119,54.4431,15.1034,112.71,43.8625,,6.1726,4.18145,1.33718,8.65661,3.36882,2.56963,1.16,0.224121,0.0872191,0.13690156489610672,,0.249147,0.30065,0.721374,4.16797,467.50000000000017,3.995726495726497,470,4.017094017094017,1.47664,1.23842,7.2353,289.7200012207031,22.0,NL,Roki Sasaki,808963.0,35323,35323
COL,Rockies,7.8026,12.0532,28.62,28.62,0.0,0.0,,163.645,719.001,191.637,99.8458,93.704,27.3468,122.504,44.3883,,6.3596,5.15346,1.4423,6.73738,2.44123,2.75983,1.504,0.170381,0.0617361,0.10864491388201714,,0.286773,0.316916,0.688681,4.74072,478.3000000000001,2.9164634146341473,565,3.4451219512195124,1.47226,1.53666,10.3846,999.0,19.0,NL,Kyle Freeland,607536.0,16256,16256
CHC,Cubs,8.137,9.382,25.44,25.44,0.0,0.0,,144.313,613.055,150.398,77.1601,72.168,23.4589,114.131,35.846,,4.1737,4.50071,1.29055,7.11773,2.23551,3.18393,1.463,0.186168,0.0584711,0.12769703194499016,,0.262459,0.291516,0.711101,4.49858,500.70000000000016,3.4770833333333346,529,3.673611111111111,1.46839,1.23974,10.8708,504.4700012207031,17.0,NL,Jameson Taillon,592791.0,11674,11674
ATH,Athletics,7.394,7.6501,22.26,22.26,0.0,0.0,,121.737,524.728,111.95,62.4631,58.4071,18.0171,123.757,50.7208,,6.377,4.31803,1.33625,9.14935,3.74978,2.43997,1.332,0.23585,0.0966611,0.13918906450271606,,0.239398,0.288265,0.729065,4.43302,467.2000000000002,3.829508196721313,453,3.7131147540983607,1.46821,1.54038,9.2216,409.239990234375,10.0,AL,Jacob Lopez,682052.0,25098,25098
MIN,Twins,8.0746,9.8126,25.44,33.2919,0.0,0.6393,,145.042,629.224,143.565,78.4997,73.5763,21.5145,132.024,56.6677,,4.8563,4.56549,1.38052,8.19222,3.51629,2.32979,1.335,0.20982,0.0900597,0.11976037174463272,,0.252889,0.294693,0.715604,4.51552,510.0,3.5172413793103448,521,3.593103448275862,1.46284,1.09368,9.4117,664.0399780273438,8.0,AL,Simeon Woods Richardson,680573.0,24494,24494
CLE,Guardians,7.7746,8.5679,23.7,23.7,0.0,0.0,,134.973,579.534,132.376,66.5457,61.3737,17.0666,122.438,47.6226,,6.3476,4.09238,1.33359,8.16411,3.17546,2.571,1.138,0.211269,0.082174,0.12909509241580963,,0.251874,0.298683,0.726772,4.16424,528.7,3.916296296296297,536,3.9703703703703703,1.45083,1.48683,11.278,294.17999267578125,5.0,AL,Parker Messick,800048.0,31986,31986
CHC,Cubs,5.9079,5.0159,15.9,15.9,0.0,0.0,,90.477,375.112,84.0146,39.5318,36.2679,10.5657,87.0605,26.0868,,3.3032,3.60767,1.2169,8.66015,2.59493,3.33734,1.051,0.232092,0.069544,0.1625479906797409,,0.243012,0.296051,0.740426,3.70327,399.30000000000007,4.436666666666667,394,4.377777777777778,1.44688,1.62245,8.4018,605.5,17.0,NL,Justin Steele,657006.0,17312,17312
NYY,Yankees,8.0725,7.789,20.67,42.2626,0.0,0.6897,,130.9,561.289,123.461,62.8914,58.0129,17.5552,129.154,46.7973,,5.0987,3.98866,1.30067,8.87996,3.21753,2.75987,1.207,0.230103,0.0833747,0.14672833681106567,,0.242368,0.292005,0.736999,4.09462,534.2,4.077862595419847,527,4.022900763358779,1.44149,1.36869,8.4187,285.04998779296875,9.0,AL,Will Warren,701542.0,30182,30182
