Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,MLBAMID,playerids,PlayerId
CIN,Reds,7.79611,8.1644,22.423,27.735,0,0.6419,,124.704,508.215,100.056,50.77,47.61,15.1699,154.304,38.1838,0.792821,2.063,3.43606,1.10854,11.1363,2.75576,4.04109,1.09483,0.30362,0.0751332,0.22848667949438095,,0.213809,0.28438,0.747593,3.21004,672.5,5.38,622,4.976,3.25059,2.68965,5.03762,109.72000122070312,18,NL,Chase Burns,695505,35333,35333
BOS,Red Sox,10.8104,8.72544,27.027,27.027,0,0.0,,164.76,688.239,155.911,74.69,69.38,16.895,144.4,44.6563,0.607179,7.35387,3.78988,1.21733,7.88784,2.43935,3.23358,0.92289,0.209811,0.064885,0.14492599666118622,,0.245055,0.292707,0.711516,3.66237,738.3000000000001,4.474545454545455,736,4.460606060606061,3.24134,2.81544,13.0718,183.97999572753906,3,AL,Ranger Suarez,624133,17277,17277
TEX,Rangers,10.0899,9.33813,28.055,28.055,0,0.0,,158.235,663.425,135.418,72.84,68.04,19.0633,176.763,56.5914,0.459729,6.68098,3.86994,1.21344,10.0538,3.21877,3.1235,1.08427,0.26644,0.0853019,0.18113819509744644,,0.225639,0.287773,0.720837,3.66672,746.5,4.724683544303797,705,4.462025316455696,3.1503,2.56905,11.4405,164.82000732421875,13,AL,MacKenzie Gore,669022,22201,22201
NYM,Mets,11.1298,8.86501,28.505,28.505,0,0.0,,164.772,686.363,132.961,74.47,69.75,22.0347,181.324,63.5404,0.433142,7.04268,3.80981,1.19257,9.90406,3.47064,2.85367,1.20356,0.26418,0.0925756,0.17160483449697495,,0.215924,0.268965,0.73667,3.95781,753.6000000000001,4.567272727272728,688,4.16969696969697,3.08611,2.92113,12.2659,56.36000061035156,25,NL,Freddy Peralta,642547,18679,18679
TOR,Blue Jays,11.4471,9.53921,28.977,28.977,0,0.0,,178.417,745.113,162.741,88.03,82.47,25.056,174.074,54.5532,0.616845,3.04807,4.16009,1.2179,8.78094,2.75186,3.19091,1.26392,0.233621,0.0732148,0.1604066640138626,,0.23671,0.28192,0.709401,3.97802,759.9000000000001,4.269101123595506,739,4.151685393258427,3.06415,2.29277,14.5663,112.94999694824219,14,AL,Kevin Gausman,592332,14107,14107
SDP,Padres,10.8745,8.94377,27.585,27.585,0,0.0,,166.514,684.718,140.273,76.14,71.23,25.2915,169.326,48.8219,0.662589,3.41443,3.84995,1.13561,9.15198,2.6388,3.46824,1.36699,0.247293,0.0713021,0.17599058151245117,,0.221781,0.262596,0.734967,4.01702,746.3,4.468862275449101,692,4.1437125748503,3.01167,2.83941,13.0993,96.01000213623047,29,NL,Nick Pivetta,601713,15454,15454
LAD,Dodgers,9.11245,5.1856,21.707,21.707,0,0.0,,113.27,462.668,88.4848,43.85,40.9,12.616,142.509,38.1792,0.294301,3.04853,3.24976,1.11825,11.3232,3.03357,3.73263,1.00242,0.308015,0.0825195,0.2254953533411026,,0.209958,0.284883,0.75975,3.15874,610.5,5.402654867256637,559,4.946902654867257,2.99286,2.7294,6.9766,1.2699999809265137,22,NL,Shohei Ohtani,660271,19755,19755
LAD,Dodgers,8.94512,6.81228,23.17,33.349,0,0.7573,,133.57,547.966,102.654,56.99,53.4,18.5136,157.756,46.3773,1.15697,4.93837,3.59811,1.11575,10.6296,3.12492,3.40158,1.24745,0.287893,0.0846352,0.20325788855552673,,0.206692,0.262625,0.74762,3.72742,657.0999999999999,4.903731343283582,590,4.402985074626866,2.783,2.5901,2.88053,111.20999908447266,22,NL,Emmet Sheehan,686218,29839,29839
NYM,Mets,10.378,7.99012,25.844,25.844,0,0.0,,152.817,642.39,135.175,68.74,64.18,16.264,149.987,53.6569,0.435394,9.09568,3.77981,1.23567,8.83331,3.16007,2.79529,0.957851,0.233482,0.083527,0.14995503425598145,,0.233205,0.28765,0.723173,3.78766,695.4000000000001,4.545098039215687,668,4.366013071895424,2.76784,2.66841,11.687,87.29000091552734,25,NL,Nolan McLean,690997,33703,33703
LAD,Dodgers,9.42649,5.33654,20.912,20.912,0,0.0,,122.06,506.698,98.1565,52.32,48.82,13.0533,141.543,48.4853,0.405222,2.6745,3.59971,1.20139,10.4366,3.57502,2.9193,0.962478,0.279344,0.0956887,0.1836555376648903,,0.215474,0.28279,0.734782,3.46355,619.1000000000001,5.0745901639344275,572,4.688524590163935,2.7592,2.45467,9.09732,178.41000366210938,22,NL,Blake Snell,605483,13543,13543
