Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Name,MLBAMID,playerids,PlayerId
DET,Tigers,134,509,577,129,79,28,3,18,71,69,58,1,84,3,5,1,,12,3,0.252554,0.329995,0.425666,0.755661,0.328225,0.100398,0.144914,0.692812,0.173112,5.12156,0.268419,-0.455749,,75.2982,7.1081,1.24484,0.00694236,-0.448807,3.3248,6.621867746114731,6.0050212144851685,110.395,678.3,5.061940298,678.3,5.061940298,999.0,0.0,3B/SS,/players/kevin-mcgonigle/33572/stats/batting,6,AL,Kevin McGonigle,805808,33572,33572
TOR,Blue Jays,122,429,485,115,79,20,0,15,52,64,47,2,61,4,5,0,,1,0,0.267045,0.341173,0.421342,0.762516,0.331795,0.0975285,0.124729,0.781924,0.154298,1.77009,0.276823,-2.11365,,64.7446,7.38608,1.87798,-0.733956,-2.8476,3.28943,4.995860576629639,10.441405296325684,113.709,568.9,4.663114754,568.9,4.663114754,160.25,0.05511811,C,/players/alejandro-kirk/22581/stats/batting,14,AL,Alejandro Kirk,672386,22581,22581
CHC,Cubs,151,596,653,166,126,29,3,7,80,60,41,1,61,10,5,1,,28,7,0.278347,0.333446,0.37443,0.707877,0.311779,0.0634414,0.0933149,0.679864,0.0960838,5.9522,0.297807,2.09494,,76.4436,-0.676232,3.51904,1.61288,3.70782,3.28452,4.447381854057312,5.948210716247559,100.956,687.2,4.550993377,687.2,4.550993377,101.93000030517578,0.0,2B/SS,/players/nico-hoerner/21479/stats/batting,17,NL,Nico Hoerner,663538,21479,21479
SDP,Padres,146,573,632,151,96,27,0,26,79,89,51,4,122,3,4,0,,9,3,0.262927,0.324318,0.450838,0.775155,0.332658,0.0814137,0.193412,0.420933,0.187911,3.7639,0.289701,-0.735437,,84.7445,10.0601,-1.31207,-0.175501,-0.910938,3.21196,11.978336453437805,-1.60651695728302,117.205,766.0,5.246575342,766.0,5.246575342,37.52000045776367,0.08641975,3B,/players/manny-machado/11493/stats/batting,29,NL,Manny Machado,592518,11493,11493
ATH,Athletics,140,539,605,141,73,27,2,39,98,99,57,4,186,4,4,1,,3,1,0.261565,0.334569,0.536959,0.871528,0.367849,0.0945223,0.307108,0.307782,0.275394,3.84392,0.320066,-0.569533,,98.3342,26.897,-2.54673,-0.649392,-1.21893,3.18038,23.80845081806183,-13.539324760437012,135.122,892.8,6.377142857,892.8,6.377142857,19.8700008392334,0.04166667,1B,/players/nick-kurtz/35110/stats/batting,10,AL,Nick Kurtz,701762,35110,35110
ATL,Braves,153,598,660,154,93,30,2,29,85,90,49,1,172,7,5,0,,3,1,0.258108,0.319677,0.46219,0.781868,0.335926,0.0741376,0.261166,0.283871,0.204082,3.30889,0.311895,-0.94054,,90.1786,12.247,-3.08574,-0.849488,-1.79003,3.16468,10.118549704551697,-1.12278151512146,115.234,806.3,5.26993464,806.3,5.26993464,59.36000061035156,0.0,3B,/players/austin-riley/18360/stats/batting,16,NL,Austin Riley,663586,18360,18360
ARI,Diamondbacks,110,387,435,107,75,20,1,11,52,53,41,2,75,3,4,0,,4,2,0.275506,0.3471,0.415902,0.763003,0.33253,0.0940139,0.172703,0.544369,0.140397,3.75343,0.314799,-0.341878,,58.302,6.88105,3.41607,-0.610263,-0.952142,3.16274,5.440827012062073,10.998018264770508,112.395,513.3,4.666363636,513.3,4.666363636,181.22000122070312,0.09411765,C,/players/gabriel-moreno/22664/stats/batting,15,NL,Gabriel Moreno,672515,22664,22664
LAD,Dodgers,148,558,639,155,96,34,2,23,87,87,67,8,118,8,5,0,,8,2,0.278312,0.360988,0.469801,0.830789,0.355765,0.105063,0.185317,0.566935,0.191489,4.16641,0.313766,-1.1999,,97.6526,22.1564,0.140815,-0.419522,-1.61942,3.15977,20.9512677192688,-11.3179811835289,129.805,870.8,5.883783783,870.8,5.883783783,67.87999725341797,0.0,1B,/players/freddie-freeman/5361/stats/batting,22,NL,Freddie Freeman,518692,5361,5361
MIL,Brewers,148,571,639,147,103,25,3,15,81,68,58,1,133,2,4,3,,30,6,0.257155,0.326179,0.391839,0.718018,0.314763,0.090962,0.208334,0.436617,0.134685,6.01735,0.308111,2.28768,,76.3822,0.886003,0.936577,2.27986,4.56755,3.14794,6.053745150566101,3.4638919830322266,101.963,703.0,4.75,703.0,4.75,48.18000030517578,0.0,2B,/players/brice-turang/22186/stats/batting,23,NL,Brice Turang,668930,22186,22186
SDP,Padres,138,538,598,142,101,26,1,14,71,63,48,2,105,5,6,1,,17,4,0.264512,0.32709,0.394253,0.721342,0.315026,0.0807261,0.175107,0.46101,0.129741,4.82407,0.302187,0.919954,,71.5822,0.956685,-1.09019,0.790758,1.71071,3.12423,5.3428345918655396,5.313981413841248,105.127,650.0,4.710144927,650.0,4.710144927,237.1999969482422,0.06569343,SS,/players/xander-bogaerts/12161/stats/batting,29,NL,Xander Bogaerts,593428,12161,12161
BAL,Orioles,138,488,556,123,80,25,1,17,64,64,60,2,89,3,4,0,,1,0,0.251206,0.333961,0.41009,0.744051,0.325019,0.107502,0.159317,0.674767,0.158884,2.35857,0.273447,-1.23705,,71.0852,5.40003,0.966623,-0.881957,-2.119,3.11281,4.355650424957275,6.929123163223267,109.882,629.7,4.563043478,629.7,4.563043478,148.92999267578125,0.19148936,C/DH,/players/adley-rutschman/26288/stats/batting,2,AL,Adley Rutschman,668939,26288,26288
ATH,Athletics,140,558,605,164,120,32,1,11,75,68,33,1,53,7,4,3,,6,2,0.293857,0.339351,0.415515,0.754866,0.328997,0.0547116,0.0883811,0.619041,0.121657,3.82805,0.307459,-0.699109,,79.2625,7.82519,-1.78705,-0.675851,-1.37496,3.06826,4.58063530921936,4.592583656311035,108.358,688.1,4.915,688.1,4.915,196.44000244140625,0.0078125,SS,/players/jacob-wilson/33266/stats/batting,10,AL,Jacob Wilson,805779,33266,33266
STL,Cardinals,146,577,632,145,99,29,2,13,75,62,42,0,115,6,4,3,,14,4,0.250571,0.305976,0.380179,0.686154,0.300377,0.0670773,0.181341,0.369895,0.129608,5.0053,0.289257,0.851343,,68.1782,-6.50626,5.95165,0.241326,1.09267,3.06627,-3.7760162353515625,12.723876476287842,93.501,612.1,4.192465753,612.1,4.192465753,364.7799987792969,0.0,SS,/players/masyn-winn/27479/stats/batting,28,NL,Masyn Winn,691026,27479,27479
BOS,Red Sox,143,533,618,142,89,31,3,19,87,69,76,1,156,5,4,1,,11,3,0.265623,0.360142,0.441303,0.801445,0.349751,0.122752,0.251683,0.487725,0.17568,4.8572,0.33838,-0.128814,,91.4833,18.4224,1.00691,-0.196872,-0.325686,3.00594,15.181398302316666,-7.090309262275696,121.278,803.3,5.617482517,803.3,5.617482517,50.75,0.25,DH/OF,/players/roman-anthony/31812/stats/batting,3,AL,Roman Anthony,701350,31812,31812
DET,Tigers,148,573,639,147,88,28,3,28,83,90,57,2,179,5,4,0,,4,1,0.257081,0.326805,0.46434,0.791144,0.339835,0.0888224,0.280057,0.317158,0.207259,4.05401,0.32166,-0.832032,,89.3887,13.8925,1.59501,-0.720415,-1.55245,2.94168,12.29864251613617,-5.545269250869751,118.393,802.5,5.422297297,802.5,5.422297297,78.4800033569336,0.13772455,OF,/players/riley-greene/25976/stats/batting,6,AL,Riley Greene,682985,25976,25976
